annotation_id,utterance_id,query,T2_reviewer_1,T2_reviewer_2,T3_reviewer_1,T3_reviewer_2,reviewer_1_clarification_required,reviewer_2_clarification_required,reviewer_1_notes,reviewer_2_notes
ANN_B2_307,GB1_00359,Chromepet se Beach ke liye subah pehli suburban_train kab nikalti hai?,,,,,,,,
ANN_B2_308,GB1_00745,central 09:15 train,,,,,,,,
ANN_B2_309,GB1_02140,क्या ब्रॉडवे स्टेशन पर दिव्यांगों के लिए लिफ्ट और स्पर्शनीय मार्ग हैं,,,,,,,,
ANN_B2_310,GB1_02340,संट्रल पर bus क rltm gps loc trc हो रह है,,,,,,,,
ANN_B2_311,GB1_01090,Does suburban EMU train halt at Mambalam platform?,,,,,,,,
ANN_B2_312,GB1_01177,airport metro station concourse me ATM ya drinking water available hai?,,,,,,,,
ANN_B2_313,GB1_00402,Fort to Tambaram route par local_train kitne minute ke gap me chalti hai?,,,,,,,,
ANN_B2_314,GB1_00333,Blue Line ka official schedule timetable kya hai Central pra?,,,,,,,,
ANN_B2_315,GB1_00410,How do I reach Poonamallee from Broadway by transit?,,,,,,,,
ANN_B2_316,GB1_00849,102 to high court,,,,,,,,
ANN_B2_317,GB1_00348,Vandalur Zoo metro se kaise pahuchein?,,,,,,,,
ANN_B2_318,GB1_00262,आलंदूर से गिंडि यात्रा के लिए टोकन या कार्ड नियम क्या है,,,,,,,,
ANN_B2_319,GB1_00430,Where should I interchange between Adyar and Koyambedu?,,,,,,,,
ANN_B2_320,GB1_00073,कयमबड स सुबह क पहल bus कितन बज निकलत है,,,,,,,,
ANN_B2_321,GB1_00222,does a1 stop at adyr dpt,,,,,,,,
ANN_B2_322,GB1_00093,गिंडी से आलंदूर का टिकट कितने रुपये का है?,,,,,,,,
ANN_B2_323,GB1_00364,Pallavaram se Central ke liye 07:45 baje scheduled local_train timing kya hai?,,,,,,,,
ANN_B2_324,GB1_00662,Is Perungalathur station open right now?,,,,,,,,
ANN_B2_325,GB1_00604,Egmore to anywhere metro?,,,,,,,,
ANN_B2_326,GB1_00149,सीएमबीटी से 570 का समय सारिणी के अनुसार समय क्या है,,,,,,,,
ANN_B2_327,GB1_01906,Check headway and frequency of departures at CMBT,,,,,,,,
ANN_B2_328,GB1_01414,Washermenpet se night last mtro train kitne baje tak milti hai,,,,,,,,
ANN_B2_329,GB1_00122,vdpln stn p whlchr pssngr ke ly lft ccssbl h kya,,,,,,,,
ANN_B2_330,GB1_02090,बरडव सटशन पर परकग क क्य वयवसथ उपलबध ह,,,,,,,,
ANN_B2_331,GB1_01301,good south indian vegetarian restaurants near alandur station,,,,,,,,
ANN_B2_332,GB1_00361,Chromepet se Beach ke liye 07:45 baje scheduled suburban_train timing kya hai?,,,,,,,,
ANN_B2_333,GB1_00048,54 Porur rukegi kya bahi?,,,,,,,,
ANN_B2_334,GB1_00546,Route 570?,,,,,,,,
ANN_B2_335,GB1_00064,एयरपोर्ट से सुबह की पहली metro कितने बजे निकलती है?,,,,,,,,
ANN_B2_336,GB1_00473,वडपलनी से मेट्रो?,,,,,,,,
ANN_B2_337,GB1_00664,Perungalathur to anywhere metro?,,,,,,,,
ANN_B2_338,GB1_00578,rout M1,,,,,,,,
ANN_B2_339,GB1_00119,कोयम्बेडु स्टेशन पर गाड़ी पार्किंग की जगह है क्या,,,,,,,,
ANN_B2_340,GB1_00729,airport morning first,,,,,,,,
ANN_B2_341,GB1_00483,कोयम्बैडु से मेट्रो,,,,,,,,
ANN_B2_342,GB1_00720,21G tambaram hlat?,,,,,,,,
ANN_B2_343,GB1_02222,Anna Nagar Tower station par line transfer walking corridor rasta,,,,,,,,
ANN_B2_344,GB1_00091,what is the single token fare between airport and central,,,,,,,,
ANN_B2_345,GB1_00404,How do I reach Velachery from Mylapore by transit?,,,,,,,,
ANN_B2_346,GB1_00860,29C to mnadaveli,,,,,,,,
ANN_B2_347,GB1_00216,does 114 stop at thrmnglm,,,,,,,,
ANN_B2_348,GB1_00459,सेंट्रल मेट्रो स्टेशन सुविधा,,,,,,,,
ANN_B2_349,GB1_00866,बस 54 porur जाएगी?,,,,,,,,
ANN_B2_350,GB1_02137,क्य गिंड सटशन पर दवयग क लए लफट और सपरशनय मर्ग हं,,,,,,,,
